answer,preprocessing_result,sentimen
good job,good job,0
Tolong jangan bedakan mahasiswa yang ngulang atau tidak kalau sudah terlambat jangan suruh masuk,jangan beda mahasiswa ngulang tidak kalau lambat jangan suruh masuk,0
Mewajibkan menggunakan kalkulator,wajib kalkulator,0
Pertahankan Pak !!,tahan pak,1
Semangat Kakak........,semangat kakak,1
Lanjutkan !!!,lanjut,0
Lanjutkan !!!,lanjut,0
Cara Mengajar sudah bagus ..lanjutkan Pak !!!,cara ajar bagus lanjut pak,1
Lanjutkan !!!,lanjut,0
Ganbatte Ser....,ganbatte ser,0
Kepagian !!,pagi,1
Good Maju Terus...,good maju terus,0
Nila A aja Pak !!!,nila a aja pak,1
Good...!,good,0
Good !!,good,0
Dosen hanya menjelaskan tetapi tidak membuka pertanyaan untuk mhs yang kurang mengerti/paham,dosen jelas tidak buka tanya mhs kurang erti paham,0
Tingkatkan,tingkat,0
Tetap semangat !!,tetap semangat,1
Ngajarnya dikasih selingan canda ya Paak !!!,ngajarnya kasih seling canda paak,1
Tingkatkan,tingkat,0
Sudah sangat bagus Pak !!!,sangat bagus pak,1
Saya lebih menguasai tentang apa itu penelitian,lebih kuasa apa teliti,1
Dosen sering terlambat,dosen sering lambat,1
"Saya suka kuliah seperti ini, terimakasih Bapak ...!",suka kuliah ini terimakasih bapak,0
Tingkatkan Pak !!!,tingkat pak,1
Ok  ..!!,,0
The best dosen...!,the best dosen,0
Nice Lecture...,nice lecture,0
Pertahankan ya bu jangan pernah berubah.,tahan bu jangan pernah ubah,0
good job.,good job,0
OK,,0
"tingkatkan pak, minat kami bertambah",tingkat pak minat tambah,1
Semangat untuk menjadilebih baik.,semangat menjadilebih baik,1
"Mantap pak, bangun pagi dan saya selalu telat..",mantap pak bangun pagi saya selalu telat,1
Agar lebih baik lagi dlm menjelaskan materi.,lebih baik dlm jelas materi,1
Cukup memuaskan belajar bersama Anda Pak...!!,cukup muas ajar sama pak,1
Tingkatkan kinerja Anda,tingkat kerja,0
lanjutkan,lanjut,0
"Cukup baik dan memuaskan , lebih rajin berangkat",cukup baik muas lebih rajin berangkat,1
Semoga bisa bermanfaat bagi kita semua,moga manfaat kita semua,1
Sangat menguasai materi kuliah serta lebih kedepannya bisa dicontoh kepada mahasiswa,sangat kuasa materi kuliah lebih depan contoh mahasiswa,0
"Terkadang jangan terlalu serius, itu bisa membuat mood mahasiswa menjadi kurang baik",terkadang jangan terlalu serius bisa buat mood mahasiswa jadi kurang baik,0
Pak Iksan mengajarnya bagus...,pak iksan ajar bagus,1
Waktu belajar harus lebih tepat,waktu ajar lebih tepat,0
PakIkhsan adalah dosen Favorit beliau dapat membawakan materi dengan sangat baik kita seperti teman baginya,pakikhsan dosen favorit beliau bawa materi sangat baik seperti teman,1
Untuk terus lebih tepat waktu agar para mahasiswa lebih giat juga,terus lebih tepat waktu para mahasiswa lebih giat,0
"Jika tidak mengerti kekurangan atau kelebihan nya jangan bilang  ""sesuai desain pembuatnya""",tidak erti kurang lebih nya jangan bilang sesuai desain buat,0
Sebaiknya penjelasannya dijelaskan dengan lebih santai,baik jelas jelas lebih santai,1
Mohon ditingkatkan,mohon tingkat,0
Datang tepat waktu,datang tepat waktu,1
Lebih mempermudah mendapat nilai untuk mahasiswa,lebih mudah nilai mahasiswa,1
Lebih murah lagi memberi nilainya,lebih murah beri nilai,1
Lebih tepat waktu,lebih tepat waktu,1
No comment,no comment,1
Lebih ditingkatkan ke hal yang lebih baik lagi,lebih tingkat hal lebih baik,1
Semoga lebih ditingkatkan lagi,moga lebih tingkat,1
tidak ada,ada,0
Motivasi yang diberikan cukup baik tapi saya harap terus memberikan motivasi dan lebih baik lagi,motivasi beri cukup baik saya harap terus beri motivasi lebih baik,1
"Lanjutkan, istimewa",lanjut istimewa,0
"motivasi disela-sela perkuliahan perlu disisipkan agar mhs.dapat lebi bersemangat, selain itu juga nasehat",motivasi sela kuliah perlu sisip mhs lebi semangat itu nasehat,0
yang humoris ya bu,humoris bu,0
Mohon untuk sebelum kuliah di kasih Pengantar/motivasi terhadap materi yang akan dijilaskan.membuat peta materi di kelas,mohon belum kuliah kasih antar motivasi hadap materi akan dijilaskan buat peta materi kelas,0
jangan ngiret nilai Bu,jangan ngiret nilai bu,1
"Tingkatkan bu, sedikit boros dengan nilai gak apa-apa bu, hehe",tingkat bu sedikit boros nilai gak apa bu hehe,0
tolong bei saya nilai baik 1000 cukup,bei nilai baik 1000 cukup,1
buat motivasi belajar kemahasiswa,buat motivasi ajar mahasiswa,0
Soal yang dikerjan diberi penjelasan atau apa yng kurang dari tugas-tugas yang sudah dikumpulkan,soal dikerjan beri jelas apa yng kurang tugas sudah kumpul,0
sudah baik dalam mengajarnya,baik ajar,0
Usahakan masuk tepat waktu,usaha masuk tepat waktu,0
Lanjutkan jihadmu,lanjut jihad,0
Menjadi dosen yang lebih baik lagi kedepannya,jadi dosen lebih baik depan,1
"Tingkatkan terus kehadiranmu bu. Jangan jarang masuk, waktu adalah sesuatu yang berharga",tingkat terus hadir bu jangan jarang masuk waktu sesuatu harga,1
Tingkatkan Prestasimu,tingkat prestasi,1
Tingkatkan Profesionalitas,tingkat profesionalitas,0
Tingkatkan,tingkat,0
"Tingkatkan lagi, sudah sangat baik dan menunjukkan minat",tingkat sudah sangat baik tunjuk minat,0
Sering tidak mengisi kelas,sering isi kelas,0
Good job,good job,0
Good,good,0
Berangkatnya supaya tidak telat,berangkat tidak telat,0
Harus lebih sering datang mengajar materi kuliah,lebih sering datang ajar materi kuliah,0
"Cara mengajarnya lebih baik lagi, supaya mahasiswa bisa menyerap ilmu dengan baik",cara ajar lebih baik supaya mahasiswa serap ilmu baik,1
Cukup Baik,cukup baik,1
Good,good,0
"saat menjelaskan, mohon jangan terlalu cepat",jelas mohon jangan terlalu cepat,0
Semoga lebih bisa menguasi kelas,moga lebih kuasi kelas,1
Berikan kami motifasi untuk giat belajar,ikan motifasi giat ajar,0
Tingkatkan cara terangkan agar sempurna,tingkat cara terang sempurna,1
"Bu, jangan sulit-sulit ngasih tugas sama kuis",bu jangan sulit ngasih tugas sama kuis,0
Menjelaskan terlalu cepat,jelas terlalu cepat,0
"Sering-sering mengajar, jangan terlalu banyak absen",sering ajar jangan terlalu banyak absen,0
Cara mengajar yang baik terus di Tingkatkan,cara ajar baik terus tingkat,0
Lebih baik lagi,lebih baik,1
Lebih baik lagi,lebih baik,1
Mohon kalau mengajar tepat waktu dan lebih murah memberi nilainya,mohon kalau ajar tepat waktu lebih murah beri nilai,0
"Diperbanyak contoh dan tugas yg sedang diajarkan, supaya murid bisa lebih paham",banyak contoh tugas yg sedang ajar murid lebih paham,0
Ditingkatkan lagi,tingkat,0
Perbanyak tugas agar mahasiswa mau belajar,banyak tugas mahasiswa mau ajar,0
Perbanyak tugas,banyak tugas,0
Jangan terlalu banyak tugas ya bu,jangan terlalu banyak tugas bu,0
Semangat,semangat,1
Bagus dan terus ditingkatkan,bagus terus tingkat,1
Semangat,semangat,1
Harus lebih baik lagi,lebih baik,1
Lebih baik lagi,lebih baik,1
jangan menjelaskan terlalu cepat,jangan jelas terlalu cepat,0
Fighting,fighting,0
Sering memberi kuis dan jika waktu kuis mengerjakan 25 menit,sering beri kuis jika waktu kuis kerja 25 menit,0
jangan terlalu galak,jangan terlalu galak,0
"Kalau kuis jangan cuma 15 menit, kurang banyak kalau suruh menghitung yang banyak",kalau kuis jangan cuma 15 menit kurang banyak kalau suruh hitung banyak,0
Sering membri latihan-latihan,sering membri latih,0
Tingkatkan lagi Proses mengjar yang baik,tingkat proses mengjar baik,1
Fighting,fighting,0
Berikan motivasi kepada mahasiswa,ikan motivasi mahasiswa,1
Materinya kurang mengena,materi kurang kena,0
Terlalu banyak jam kosong,terlalu banyak jam kosong,0
Jangan terlalu banyak memberi tugas,jangan terlalu banyak beri tugas,0
Jangan terlalu banyak tugas,jangan terlalu banyak tugas,0
Terkadang cara mengajrnya hanya mencerdakan mhs. yang sudah cerdas. Sedangkan Mhs. yang seperti saya sangat susah memahami,terkadang cara mengajrnya mencerdakan mhs sudah cerdas sedang mhs seperti sangat susah paham,0
Jangan terlalu banyak tugas,jangan terlalu banyak tugas,0
Jangan menjelaskan terlalu cepat,jangan jelas terlalu cepat,0
Kalau memberi tugas kurang koordinasi ke mahasiswa akibt banyak yg tidak tahu,kalau beri tugas kurang koordinasi mahasiswa akibt banyak yg tahu,0
"Tingkatkan. Fokus dipemahaman, bukan cenderung hafalan",tingkat fokus paham bukan cenderung hafal,0
Terimakasih Bapak ..,terimakasih bapak,0
Menjelaskan lebih rinci lagi/lebih jelas,jelas lebih rinci lebih jelas,0
Terlalu banyak slatenya dan membingungkan,terlalu banyak slatenya bingung,0
Kurang menarik dalam penyampaian materi kulia. Dikasih tugas yang banyak biar mahasiswa lebih,kurang tarik sampai materi kulia kasih tugas banyak biar mahasiswa lebih,1
Good Job,good job,0
Kelasnya mohon dikuasai lebih baik,kelas mohon asai lebih baik,1
"Kalau ngasih nilai pada jawaban jika salah,minimal dikasi nilai 2 upah nulis",kalau ngasih nilai jawab salah minimal kasi nilai 2 upah nulis,1
Ngajarnya jangan ngebut Pak..!,ngajarnya jangan ngebut pak,1
Ngajarnya terlalu cepat...!,ngajarnya terlalu cepat,0
Keep spirit,keep spirit,1
Sebaiknya memberikan nilai jangan pelit-pelit ya minimal ada upah nulisnya,baik beri nilai jangan pelit minimal upah nulisnya,1
Penjelasannya terlalu cepat sehingga banyak yang belum saya mengerti tapi mudah-mudahan ilmu yang Bapak Sampaikan dapat berguna untuk kami. Amien,jelas terlalu cepat banyak belum erti mudah ilmu bapak dapat untuk amien,0
Tambah giat mengajar,tambah giat ajar,0
Terlalu banyak ngasih tugas,terlalu banyak ngasih tugas,0
"Memberikan Nilai jangan pelit, walaupun salah harusnya dikasih nilai. upah nulis",beri nilai jangan pelit walaupun salah kasih nilai upah nulis,1
Jnagan ngasih tugas banyak,jnagan ngasih tugas banyak,0
Tentang nilai yang ddiberikan kurang baik,nilai ddiberikan kurang baik,1
Mohon diperbaiki metode pembelajarannya,mohon baik metode ajar,0
Jangan pelit-pelit memberikan nilai,jangan pelit beri nilai,1
Lanjutkan ..demi perkuliahan yang baik...,lanjut kuliah baik,1
"Pak, jangan pelit-pelit memberi nilai",pak jangan pelit beri nilai,1
Terimakasih,terimakasih,0
"Mata kuliah ini kan lumayan susah Pak, mohon dijelaskan lebih detail. Jawaban ujian dibahas setelah ujian agar tau salahnya dimana yang benar gima..? soalnya matkul ini tdk pasti jawabannya.. terimakasih",mata kuliah kan lumayan susah pak mohon jelas lebih detail jawab uji bahas uji tau salah mana benar gima soal matkul tdk jawab terimakasih,1
Suasana kelas yg tidak membosankan,suasana kelas yg bosan,0
Lanjutkan,lanjut,0
"Tugas sudah banyak, jangan bikin tambah banyak lagi, bikin mhs hilang semangat",tugas banyak jangan bikin tambah banyak bikin mhs hilang semangat,0
Jangan terlalu banyak tugas di E-learning...Tugas dan Tugas....,jangan terlalu banyak tugas e-learning tugas tugas,0
Memberikna nilai jangan pelit. Memberi soal ujian lebih baik yang pernah diajarkan/dicatat. Berikan upah nulis mhs.saat menjawab ujiah,memberikna nilai jangan pelit beri soal uji lebih baik pernah ajar catat ikan upah nulis mhs jawab ujiah,1
Lanjutkan....,lanjut,0
"Saat menerangkan terlalu banyak slide, membingungkan kurang meringkas materi....",terang terlalu banyak slide bingung kurang ringkas materi,0
Sebaiknya saat menerangkan lebih jelas,baik terang lebih jelas,1
Jangan terlalu pelit nilai Pak,jangan terlalu pelit nilai pak,0
Harus lebih baik,lebih baik,1
"Jangan sering-sering tugas E-learning, terlalu banyak tugas yang diberikan tolong jangan terlalu banyak tugasnya, tugas juga bukan dari kuliah RPL saja Tugas dari kuliah lain juga banyak..?",jangan sering tugas e-learning terlalu banyak tugas beri jangan terlalu banyak tugas tugas bukan kuliah rpl tugas kuliah juga banyak,0
Baik,baik,1
Jangan Terlalu cepat dalam Mengajar,jangan terlalu cepat ajar,0
Tugas di E-learning terlalu banyak sehingga samapai mhslupa,tugas e-learning terlalu banyak samapai mhslupa,0
"Terlalu cepat mengajarkan, sehingga mhs. kurang memahami materi yang diberikan",terlalu cepat ajar mhs kurang paham materi beri,0
Cukup..,cukup,0
OKE...!!!,oke,0
Semangat pak,semangat pak,1
Mantap !,mantap,1
Senang Sedih kita Jalani....,senang sedih jalan,1
Jangan menilai hasil ujian hanya dengan luarnya saja tapi nilailah dari usahanya,jangan nilai hasil uji dengan luar tapi nilai usaha,1
Lebih baik lagi,lebih baik,1
Tingkatkan cara menerangkannya supaya menjadi lebih baik,tingkat cara terang jadi lebih baik,1
Cara mengajarnya dosen kurang menarik sehingga saya kurang menguasi pelajaran ini. jangan pelit nilai,cara ajar dosen kurang tarik saya kurang kuasi ajar jangan pelit nilai,0
Cukup,cukup,0
Good job,good job,0
Cara mengajarnya kurang menarik lebih diperjelas,cara ajar kurang tarik lebih jelas,0
Untuk materi yang disampaikan contoh dan sejarahnya di usahakan agar lebih mantap,materi sampai contoh sejarah usaha lebih mantap,0
Cukup,cukup,0
Tolong beri nilai yang baik,beri nilai baik,1
buat nilai jangan pelit-pelit ya Bu..!!,buat nilai jangan pelit bu,1
Menyampaikan materi sebaiknya menyenangkan,materi baik senang,1
Dalam pemberian contoh soal atau penjelasannya diberi dengan lengkap darimana hasil atau cara  pengerjaannya,beri contoh soal jelas beri lengkap darimana hasil cara kerja,1
sebaiknya bila menilai pekerjaan/tugas walaupun salah tetap diberi nilai walaupun cuma 1,baik bila nilai kerja tugas walaupun salah tetap beri nilai walaupun cuma 1,1
"Bagus, plis bu murah nilai yaa",bagus plis bu murah nilai yaa,1
Sebaiknya bila menilai pekerjaan mahasiswa alangkah baiknya meskipun jawabannya salah tetap diberi nilai untuk menghargai kerja keras para mahasiswa,baik bila nilai kerja mahasiswa alangkah baik meski jawab salah tetap beri nilai harga kerja keras mahasiswa,1
Penilaian saat UTS ataupun UAS lebih diperbaiki lagi,nilai uts uas lebih baik,1
"Dosennya bikin ngantuk, ditambah masuk siang",dosen bikin ngantuk tambah masuk siang,0
Jangan pelit Nilai,jangan pelit nilai,1
"1. mhs perlu diberikan nasihat , motivasi/pengetahuan agama gar menambah semangat kuliah.2. Dosen harus lebih kreatif dalam membawakan materi agar mhs tertarik dan suasana ruang dapat kondusif & interaktif berjalan",1 mhs perlu beri nasihat motivasi tahu agama gar tambah semangat kuliah 2 dosen lebih kreatif bawa materi mhs tarik suasana ruang kondusif interaktif jalan,1
Semangat !!,semangat,1
Keep Smile 1,keep smile 1,0
Lebih memotivasi mahasiswa...,lebih motivasi mahasiswa,0
Pak agung istimewa,pak agung istimewa,1
Lanjutkan,lanjut,0
Tepat waktu,tepat waktu,1
pak agung baik dech,pak agung baik dech,1
Buat Ibu Denik Lebih baik lagi,buat ibu denik lebih baik,1
Masih belum jelas rujukan yang dipakai bu Denik,belum jelas rujuk pakai bu denik,0
Penyampaian koreksi tugas kurang jelas,koreksi tugas kurang jelas,0
lanjutkan,lanjut,0
lanjutkan,lanjut,0
Lebih tegas,lebih tegas,0
Lebih baik jika ada satu buku sumber yang menjadi acuan pembelajaran,lebih baik ada satu buku sumber jadi acu ajar,0
Mohon tepatt waktu,mohon tepatt waktu,0
Menjadi dosen yang baik,jadi dosen baik,1
Lebih banyak berinteraksi dan lebih dekat dengan mahasiswa,lebih banyak interaksi lebih dekat mahasiswa,0
"Kalau bisa jangan terlalu banyak presentasi, mahasiswa kurang mengerti",kalau jangan terlalu banyak presentasi mahasiswa kurang erti,0
"Menurut saya, Ibu Denik seharusnya bisa sedikit mengeraskan suara agar terdengar mahasiswa",turut ibu denik bisa sedikit keras suara dengar mahasiswa,0
Agar lebih keras lagi ketika menerangkan,lebih keras ketika terang,1
Sebaiknya ibu dalam menjelaskan jangan teralau cepat beroperasi ke slide yang baru/slide yang lain supaya mahasiswa bisa menangkap dengan cepat & bisa mencatat dengan lebih lengkap,baik ibu jelas jangan alau cepat operasi slide baru slide lain mahasiswa tangkap cepat catat lebih lengkap,1
"Mengajar dan menjelaskan yang santai, agar kita tidak tegang dalam menerima materi, dan bu dosen kalau menjelaskan jangan hanya duduk di kursi aja, baiknya berkeliling sedikit.",ajar jelas santai kita tegang terima materi bu dosen kalau jelas jangan duduk kursi aja baik keliling sedikit,0
Mohon ngajarnya tidak buru-buru,mohon ngajarnya buru,0
"Bu dosen kalau mengajar, ajari kami sampai paham",bu dosen kalau ajar ajar sampai paham,0
Nothing !,nothing,0
No comment,no comment,1
Lebih jelas lagi dalam menelaskan materi kuliah,lebih jelas dalam telas materi kuliah,0
Sudah cukup bagus cara mengajar ibu Denik,cukup bagus cara ajar ibu denik,0
Terlalu banyak memberikan catatan kepada mahasiswa,terlalu banyak beri catat mahasiswa,0
Diharapkan dalam menjelaskan materi diperjelas...,harap jelas materi jelas,0
Cara mngajar sudah cukup baik,cara mngajar cukup baik,1
Nilai jangan pelit...Keep Smile,nilai jangan pelit keep smile,1
"Kalo ada SMS dari Mahasiswa bales donk bok, jangan bikin galau....",kalo sms mahasiswa bales donk bok jangan bikin galau,0
Kebanyakan tugas dikarenakan pihak dosen tidak menghadiri perkuliahan dan mahasiswa menjadi pelampiasan tugas,banyak tugas pihak dosen hadir kuliah mahasiswa jadi lampias tugas,0
Pak sekali-kali disisipkan atau sejenisnya agar tidak mengantuk,pak sekali-kali sisip jenis tidak antuk,0
Harap on time bu ! Mohon juga menguasai materi perkuliahan !,harap on time bu mohon kuasa materi kuliah,0
Standar bagus,standar bagus,1
Pembelajaran kurang menarik.,ajar kurang tarik,0
Nothing...?,nothing,0
Good job,good job,0
lanjutkan,lanjut,0
Pengantar multimedia UAD perlu ditingkatkan lagi. Sukses selalu.,antar multimedia uad perlu tingkat sukses selalu,0
Sip deh.,sip deh,0
"Mantab buu.. lanjutkan pengantar multimedia dan matakuliah penjurusan multimedia yang lain, agar remasuk dalam otak/pikiran heheheh.",mantab buu lanjut antar multimedia matakuliah jurus multimedia lain rasuk otak pikir heheheh,0
Good job...Keep Smile,good job keep smile,0
No Comment,no comment,1
Semangat ya bu !!! Cayooooo!!,semangat bu cayooooo,1
Semangat dalam mengajar,semangat ajar,0
Ngajarnya buat ngantuk,ngajarnya buat ngantuk,1
-Belajar lagi pak,-belajar pak,1
"Dalam menjawab pertanyaan mahasiswa, jangan terlalu melenceng, dan jangan pelit ngasih nilai",jawab tanya mahasiswa jangan terlalu lenceng jangan pelit ngasih nilai,0
3Semoga selalu semangat magajarnya,3semoga selalu semangat magajarnya,1
Jangan pelit nilai,jangan pelit nilai,1
Pertahankan dan jangan pelit nilai,tahan jangan pelit nilai,0
tingkatkan,tingkat,0
bahasa &komunikasi; dengan mhs kurang  dinamis,bahasa komunikasi mhs kurang dinamis,0
Lebih digiatkan...keep smile,lebih giat keep smile,0
Lanjutkan,lanjut,0
Tingkatkan dan lanjutkan,tingkat lanjut,0
Nilai A kabeh ya pak !!,nilai a kabeh pak,1
"Ia pak, terus tambah rinci teorinya yang luas...",pak terus tambah rinci teori luas,1
"Lanjutkan !!! tetap semangat, keep smile",lanjut tetap semangat keep smile,1
Good...!!!??,good,0
Penyampaian materi di bikin asik.,materi bikin asik,0
Semoga penyampaian materinya lebih keren lagi biar tidak ngantuk.,moga materi lebih keren biar ngantuk,1
Mantap !!!,mantap,1
"Kalu ngejelasin yang jelas pak, mahasiswa juga diperhatikan",kalu ngejelasin jelas pak mahasiswa perhati,1
Mengampu jangan bikin ngantuk terus!,ampu jangan bikin ngantuk terus,0
Pertahankan cara mengajarnya,tahan cara ajar,0
Mantab,mantab,0
Jangan terlalu sering kosong,jangan terlalu sering kosong,0
"Baik, lanjutkan.",baik lanjut,1
Pak hasil ujian yang kemarin belum dibagikan,pak hasil uji kemarin bagi,1
Lebih baik lagi ya pak.... Semangat ....,lebih baik ya pak semangat,1
Tingkatkan kualitas,tingkat kualitas,0
Tingkatkan.,tingkat,0
"Bagus pak, tingkatkan & jangan suka telat.",bagus pak tingkat jangan suka telat,1
Lebih banyak kegiatan diskusi...,lebih banyak giat diskusi,0
OK !,,0
Tingkatkan perkuliahan dengan santai,tingkat kuliah santai,0
Tingkatkan model mengajarnya dan jangan pelit nilai,tingkat model ajar jangan pelit nilai,0
No comment,no comment,1
"weel done, sir !!",weel done sir,0
No Comment...Siip,no comment siip,1
Mohon lebih baik lagi dalam menjelaskan materi !,mohon lebih baik dalam jelas materi,1
Mantap pak ! Semakin didepan,mantap pak makin depan,1
"ya begitulah, hemat pangkal kaya",begitu hemat pangkal kaya,1
ga tau,ga tau,0
ini adalah pejaran yang saya sukai dan saya tidak bohong,adalah jaran saya suka saya bohong,0
Mantap !!,mantap,1
"Payahpak, susah...",payahpak susah,0
"Cukup baik, semoga kedepannya lebih baik lagi",cukup baik moga depan lebih baik,1
Jangan terlalu sering kosong,jangan terlalu sering kosong,0
ntuk dosen jangan terlalu sering tidak masuk,ntuk dosen jangan terlalu sering masuk,0
Suasana kelas asik,suasana kelas asik,1
Lebih ditingkatkan cara menerangkan dan diharapkan dapat menguasai kelas,lebih tingkat cara terang harap kuasa kelas,1
Mantap,mantap,1
Saya sangat suka sekali pelajaran ini dan menyenangkan apalagi kalau berangkat dari rumah pagi tapi UAD sangat Mahal,sangat suka sekali ajar dan senang kalau berangkat rumah pagi uad sangat mahal,0
Penjelasan materi kurang,jelas materi kurang,0
Semoga kedepannya lebih baik lagi,moga depan lebih baik,1
Dari penjelasan/dari cara memberikan contoh kurang jelas,jelas cara beri contoh kurang jelas,0
Semoga cepat sembuh pak,moga cepat sembuh pak,1
Lebih banyak senyum pak,lebih banyak senyum pak,1
Lebih mengerti mahasiswa pak,lebih erti mahasiswa pak,1
Logikanya dipermudah lagi,logika mudah,0
logikanya dipermudah,logika mudah,0
Lanjutkan Pak,lanjut pak,1
"Bu jangan banyak2 menuntut saya sangat capek menulis, banyak mengerjakan soal supaya saya terbantu belajar.",bu jangan banyak2 tuntut sangat capek tulis banyak kerja soal saya bantu ajar,0
Ok..,,0
"Lebih dekat lagi ke mahasiswanya, maaf pak kami belum maksimal",lebih dekat ke mahasiswa maaf pak belum maksimal,0
Berikan arahan/contoh yang jelas pada materi serta penerapannya,ikan arah contoh jelas materi terap,0
Ikutilah seminar tenatang cara mengajar yang ampuh,ikut seminar tenatang cara ajar ampuh,0
Tolong banyakan contoh-contoh pengerjaan soal lalu dibahas bersaman mahasiswa,banyak contoh kerja soal lalu bahas saman mahasiswa,0
Cara menyampaikan materinya kurang jelas,cara materi kurang jelas,0
Bangga mempunyai dosen yang sangat bisa dimengerti dan di pahami,bangga punya dosen sangat erti di paham,0
Ganbatte Ser..!,ganbatte ser,0
"MOHON KEHADIRAN TEPAT WAKTU... Mahasiswa telat dilarang, dosen telat gak apa-apa...inilah UAD..",mohon hadir tepat waktu mahasiswa telat larang dosen telat gak apa uad,0
Jarang tepat waktu,jarang tepat waktu,1
Terima kasih atas ilmu yang bapak sampaikan semoga berguna bagi kami kelak nanti,terima kasih atas ilmu bapak moga bagi kelak,1
Kalau tidak berangkat harusnya ad kabar,kalau berangkat ad kabar,1
sudah sangat baik,sangat baik,1
Anoni mous UAD,anoni mous uad,0
Perkuliahan sering telat & tidak memberi tahu jika tidak diadakan perkuliahan,kuliah sering telat beri tahu tidak kuliah,0
Terlalu sering telat he he I love U,terlalu sering telat he he i love u,0
Kalau tidak hadir harap konfermasi sebelumnya,kalau hadir harap konfermasi,0
No comment,no comment,1
"Lebih tepat waktu dalam memulai perkuliahan,",lebih tepat waktu mulai kuliah,0
Jangan lupa nilai A,jangan lupa nilai a,0
terimakasih pak,terimakasih pak,1
Sangat termotovasi untuk diterapkan,sangat termotovasi terap,1
Dosen sangat memotivasi,dosen sangat motivasi,0
kalau berangkat terlalu cepat,kalau berangkat terlalu cepat,0
Jangan sering telat donk !,jangan sering telat donk,1
"Banayak sekali pembelajaran yang saya peroleh setelah melalui perkuliahan yang diajarkan oleh bapakZahrul, terimakasih bapak",banayak sekali ajar saya telah lalu kuliah ajar bapakzahrul terimakasih bapak,0
Tingkatkan dan lanjutkan bu!!!!,tingkat lanjut bu,0
Menerangkan jangan terlalu cepat,terang jangan terlalu cepat,0
"Jangan terlalucepat , agar mhs bisa lebih mengerti apa yang dijelaskan/diterangkan..",jangan terlalucepat mhs lebih erti apa jelas terang,0
Perbanyak contoh soal,banyak contoh soal,0
Lanjutkan & Senangat Bu..!,lanjut senangat bu,0
Lanjutkan dan semngat buat Ibu..,lanjut semngat buat ibu,0
Saat ini cara mengajar dosen sudah cukup bagus,ini cara ajar dosen cukup bagus,0
"Maaf ya Bu sebelumnya, Ibu mengajar terlalu cepat dan akadang saya kurang paham dengan materi sebelumnya sudah ganti materi berikutnya.",maaf bu ibu ajar terlalu cepat akadang kurang paham materi sudah ganti materi ikut,0
Semoga dpt mjadi lebih baik lagi bu!!,moga dpt mjadi lebih baik bu,1
Keberhasilan dosen: 100%,hasil dosen 100,0
"Cara mengajar Ibu sudah baik, hanya saja pada saat quiz soal-soalnya dalam bentuk baru belum pernah dibahasdan lebih rumit sehingga mhs merasa bingung dan kesulitan",cara ajar ibu baik saja saat quiz soal bentuk baru pernah dibahasdan lebih rumit mhs rasa bingung sulit,0
Jangan terlalu cepat ganti slide nya Perfect!!,jangan terlalu cepat ganti slide nya perfect,0
"Jika ada perkuliahan kosong agar diberitahukan sebelumnya, agar banyak diberikan soal dan membahasnya di ruang perkuliahan agar mhs dapat mengerti dan jelas",ada kuliah kosong diberitahukan banyak beri soal bahas ruang kuliah agar mhs erti jelas,0
Cara mengajar Ibu sangat baik mayoritas mhs mengerti materi yang Ibu ajarkan,cara ajar ibu sangat baik mayoritas mhs erti materi ibu ajar,0
Sya berharap dengan sistem pembelajaran Ibu dapat menciptakan mhs yang benar-nbenar memahami pelajaran,sya harap sistem ajar ibu cipta mhs benar-nbenar paham ajar,0
"Ketika memberikan materi atau menjelaskan materi lebih pelan-pelan sedikit ya Buk, soalnya kadang terlalu cepat",beri materi jelas materi lebih pelan sedikit buk soal kadang terlalu cepat,0
Ibu jangan terlalu cepat ganti slide nya,ibu jangan terlalu cepat ganti slide nya,0
Jangan terlalu cepat ngajarnya,jangan terlalu cepat ngajarnya,0
Dlm menyampaikan materi sangat mudah dipahami..,dlm materi sangat mudah paham,0
"Sudah baik, dipertahankan..",baik tahan,1
"Sudah bagus, lanjutkan bu!!",bagus lanjut bu,1
Pertahankan Ibu guru udah kaya guru di SMA yang ku suka,tahan ibu guru udah kaya guru sma ku suka,0
Pemunculan materi di LCD jangan terlalu cepat !,muncul materi lcd jangan terlalu cepat,0
SEmangat bu!!,semangat bu,1
Diharapkan untuk tidak mengganti slide materi dengan cepat agar kami tidak susah untuk mencatat materi,harap ganti slide materi cepat kami tidak susah catat materi,0
Dimohon agar tidak terlalu cepat saat mengganti slide materi,mohon tidak terlalu cepat ganti slide materi,0
"Sdh bagus penyampaian materinya, mohon dipertahankan ya Buk!!",sdh bagus materi mohon tahan buk,1
"Sdh bagus penyampaian materinya, mohon dipertahankan ya Buk!!",sdh bagus materi mohon tahan buk,1
You are best,you are best,0
Sudah cukup bagus dalam mengajarnya,cukup bagus ajar,0
Sukses!!,sukses,1
jangan terlalu cepat menjelaskannya,jangan terlalu cepat jelas,0
perlu ditingkatkan cara mengajarnya dan Ibu jangan terlalu cepat,perlu tingkat cara ajar ibu jangan terlalu cepat,0
Tingaktkan keakraban dengan mahasiswa yang kurang mengerti,tingaktkan akrab mahasiswa kurang erti,0
Permurah nilai dan perbanyak materi supaya mahasiswa lebih menguasai,murah nilai banyak materi mahasiswa lebih kuasa,0
