"komentar","sentimen","preprocessing_result"
"Laporan KP baru bab 3 , masih revisi","0","lapor kp baru bab 3 masih revisi"
"Way of life","2","way of life"
"Semoga bisa masuk","0","moga bisa masuk"
"Kurang Mengetahui Karena Masuk I kali sisanya Pak Iksan","0","kurang tahu karena masuk i kali sisa pak iksan"
"Lebih sering mengajar Rangkaian Listrik Agar tidak sulit mengajar / menguasai kelas","0","lebih sering ajar rangkai listrik agar tidak sulit ajar kuasa kelas"
"Semangat dan maju terus pak..","0","semangat dan maju terus pak"
"Tingkatkan sarana dan pra sarana..","0","tingkat sarana dan pra sarana"
"Kuliah selalu kosong, samapai-sampai ujian pun di blok. dikarenakan memasukan absensi ke TU telat","0","kuliah selalu kosong samapai-sampai uji pun di blok karena pasu absensi ke tu telat"
"Harap lebih sering memberikan kuliah, karena mata kuliah ini cukup sulit untuk dipahami sehingga amat sangat penting adanya perkuliahan","0","harap lebih sering beri kuliah karena mata kuliah ini cukup sulit untuk paham sehingga amat sangat penting ada kuliah"
"Sebaiknya dosen juga memikirkan apabila orang tua mahasiswa mencari uang dengan susah payah, jadi dosen juga harus memikirken hak mahasiswa. Dosen yang tidak mengajar adalah berarti tidak dapat memikul amanah","0","baik dosen juga pikir apabila orang tua mahasiswa cari uang dengan susah payah jadi dosen juga harus memikirken hak mahasiswa dosen yang tidak ajar adalah arti tidak dapat pikul amanah"
"Semoga adik tingkat, tidak mengalami situasi sepert ini lagi","0","moga adik tingkat tidak alami situasi sepert ini lagi"
"SIPP 100 % lanjutkan","0","sipp 100 lanjut"
"Lebih Tepat Waktu Saat Jam Perkuliahan dimulai","0","lebih tepat waktu saat jam kuliah mulai"
"Mohon tidak memakai istilah2 kelistrikanyg terdapat dlm materi tsb karena tidak semua mhsw paham karena ada mhsw yg harus memulai lagi dari nol","0","mohon tidak pakai istilah2 kelistrikanyg dapat dlm materi tsb karena tidak semua mhsw paham karena ada mhsw yg harus mulai lagi dari nol"
"Tingkatkan terus","0","tingkat terus"
"saya tidak paham . Tolong kejelasan dan materi yang sesuai","0","saya tidak paham tolong jelas dan materi yang sesuai"
"tingkatkan","0","tingkat"
"Lebih Sering hadir pada perkuliahan","0","lebih sering hadir pada kuliah"
"Dosennya kurang materi untuk diberikan","0","dosen kurang materi untuk beri"
"Dosennya jarang  menghadiri kelas padahal Pak sunardi bagus ngajarnya. semoga besok bisa lebih baik","0","dosen jarang hadir kelas padahal pak sunardi bagus ngajarnya moga besok bisa lebih baik"
"Tolong dosen lebih Konsisten","0","tolong dosen lebih konsisten"
"ok Bu","2","ok bu"
"Lebih mengutamakan mahasiswa untuk melalukakn UAS","0","lebih utama mahasiswa untuk melalukakn uas"
"lebih mempertegas dan mengkondisikan kelas","0","lebih tegas dan kondisi kelas"
"sangat perfect","2","sangat perfect"
"goodjob","0","goodjob"
"excelent Bu","0","excelent bu"
"tidak ada manusia yg sempurna","0","tidak ada manusia yg sempurna"
"jangan terlalu galak dong","0","jangan terlalu galak dong"
"jangan serius bu","0","jangan serius bu"
"Materi yg diberikan pd saat kuliah lbh rinci lbh sering memberikan contoh soal hitungan.","0","materi yg beri pd saat kuliah lbh rinci lbh sering beri contoh soal hitung"
"Tingkatkan performance.","0","tingkat performance"
"Sementara ini cara menyampaikan materi cukup baik.","0","sementara ini cara sampai materi cukup baik"
"Kalau ada keperluan sebaiknya kabari ke perwakilan.","0","kalau ada perlu baik kabar ke wakil"
"Lebih adil mengayomi, membimbing seluruh mhs.","0","lebih adil ayom bimbing seluruh mhs"
"Tepat Waktu","0","tepat waktu"
"Lanjutkan Bu","2","lanjut bu"
"Kalau menjelaskan didepan mohon jgn terlalu cepat agar bisa dimengerti","0","kalau jelas depan mohon jgn terlalu cepat agar bisa erti"
"lebih pelan mengajarnya","0","lebih pelan ajar"
"saya si yes","0","saya si yes"
"Lebih ditingkatkan","0","lebih tingkat"
"sudah baik","0","sudah baik"
"pada saat menjelaskan tolong diperjelas cara berbicaranya","0","pada saat jelas tolong jelas cara bicara"
"tolong diperjelas suaranya","0","tolong jelas suara"
"cara dosen mengajarnya kurang jelas dan kurang menarik","0","cara dosen ajar kurang jelas dan kurang tarik"
"keterampilan dosen sangat kurang dalam mengajar meskipun sudah menguasai materi","0","terampil dosen sangat kurang dalam ajar meski sudah kuasa materi"
"ilmu dalam mengajar dosen sangat kurang","0","ilmu dalam ajar dosen sangat kurang"
"dalam memberi materi tolong lebih pelan dan jgn tergesa gesa sekian","0","dalam beri materi tolong lebih pelan dan jgn gesa gesa sekian"
"no coman","1","no coman"
"butuh dosen yg mengerti kemampuan setiap mhsw","0","butuh dosen yg erti mampu tiap mhsw"
"dalam menerangakan ucapanya kurang jelas dan menjelaskan terlalu cepat sehing mhsw sulit utk memahami","0","dalam rangak ucapanya kurang jelas dan jelas terlalu cepat sehing mhsw sulit utk paham"
" saat mengajar seharusnya lebih pelan dan banyak membrei contoh agar lebih mudah dimengerti","0","saat ajar harus lebih pelan dan banyak membrei contoh agar lebih mudah erti"
"jika ada dosen menanyakan pertanyaan apa tidak dan mhsw diam itu biasanya mhsw belum paham","0","jika ada dosen tanya tanya apa tidak dan mhsw diam itu biasa mhsw belum paham"
"cara menjelaskan tolong diperbaiki dan ajak mhsw utk giat belajar kalkulus","0","cara jelas tolong baik dan ajak mhsw utk giat ajar kalkulus"
"Cara mengajarnya bagus secara mandiri","0","cara ajar bagus cara mandiri"
"terbaiklah sukseslah pak barakailah fi umrik wich you all the best","2","baik sukses pak barakailah fi umrik wich you all the best"
"tugas jangan terlalu banyak","0","tugas jangan terlalu banyak"
"pak jngn banyak2 tugas","0","pak jngn banyak2 tugas"
"waktu mengerjakan tugas rumah agar diperpanjang","0","waktu kerja tugas rumah agar panjang"
"bpk waktu memberi tugas waktu mengumpulkan jgn terlalu cepat","0","bpk waktu beri tugas waktu kumpul jgn terlalu cepat"
"agar tidak memberi tugas yg banyak","0","agar tidak beri tugas yg banyak"
"saya bingung pak mau comen apa bpk terlalu sempurna tapi jng terlalu banyak tugas ya","0","saya bingung pak mau comen apa bpk terlalu sempurna tapi jng terlalu banyak tugas ya"
"semoga kedepanya lebih baik","0","moga depa lebih baik"
"selalu menginspirasi terus ya pak","0","selalu inspirasi terus ya pak"
"tetap jadi pengajar yg menyenangkan ya pak","0","tetap jadi ajar yg senang ya pak"
"mengajarnya perlahan lahan pak kami tidak sepintar bpk","0","ajar perlahan lahan pak kami tidak pintar bpk"
"no comen asik gokil dosenya pak zarul","0","no comen asik gokil dosenya pak zarul"
"sebaiknya mata kuliah menggambar teknik diadakan dipagi hari krn kalau siang membuat ngantuk","0","baik mata kuliah gambar teknik ada pagi hari krn kalau siang buat ngantuk"
"Jangan Kuliah Malam","0","jangan kuliah malam"
"Tingkatkan lagi cara mengajarnya","0","tingkat lagi cara ajar"
"saya suka","0","saya suka"
"Harus sering memotivasi mhs. supaya minat belajar lebih tinggi","0","harus sering motivasi mhs supaya minat ajar lebih tinggi"
"Lebih santai lagi dalam menyampaikan kepada mahasiswanya","0","lebih santai lagi dalam sampai kepada mahasiswa"
"Pertahankan","0","tahan"
"Tingkatkan dalam mengajarnya jangan pelit memberi nilai","0","tingkat dalam ajar jangan pelit beri nilai"
"Buat Elektro kelasnya cukup banyak mahasiswanya jadi gak pada kon sen setidaknya dibagai 2 kelas","0","buat elektro kelas cukup banyak mahasiswa jadi gak pada kon sen tidak bagai 2 kelas"
"Sangat memotivasi mahasiswanya","0","sangat motivasi mahasiswa"
"sukses terus bapak","0","sukses terus bapak"
"lanjutkan Pak","2","lanjut pak"
"Tolong suaranya diperjelas dan menjelaskan materinya dengan perlahan..","0","tolong suara jelas dan jelas materi dengan perlahan"
"Ngajarnya harus lebih jelas dong..","0","ngajarnya harus lebih jelas dong"
"Ngomongnya gak begitu jelas...","0","ngomongnya gak begitu jelas"
"Saya sangat suka cara menyampaikannya mudah, terima kasih bpk!!","0","saya sangat suka cara sampai mudah terima kasih bpk"
"Harus ada ketegasan dosen thd mhs yg nyleneh.","0","harus ada tegas dosen thd mhs yg nyleneh"
"Kalau memberikan materi santai saja jangan terlalu cepat agar mhs mengerti.","0","kalau beri materi santai saja jangan terlalu cepat agar mhs erti"
"tolong Lebih di kontrol lagi emosi dan Perkataannya","0","tolong lebih di kontrol lagi emosi dan kata"
"Diharapkan memberi materi kuliah untuk pertemuan selanjutnya seperti dlm bentuk FC atau lainnya.","0","harap beri materi kuliah untuk temu lanjut seperti dlm bentuk fc atau lain"
"Untuk setiap tugas diharapkan untuk dikoreksi.","0","untuk tiap tugas harap untuk koreksi"
"Suara bpk kurang kedengaran..","0","suara bpk kurang dengar"
"Mohon penjelasannya lebih detail.","0","mohon jelas lebih detail"
"alam penjelasan lebih dirinci dengan pemahaman yg lebih sederhana.","0","alam jelas lebih dirinci dengan paham yg lebih sederhana"
"Jangan terlalu cepat dlm mengajar.","0","jangan terlalu cepat dlm ajar"
"Ketika menjelaskan kurang bisa dipahami.","0","ketika jelas kurang bisa paham"
"Terima kasih ibu....","0","terima kasih ibu"
"Jangan itu2 saja mhs yg ditanya/ diperhatikan.","0","jangan itu2 saja mhs yg tanya perhati"
"Ibu jgn terlalu cepat menerangkan.","0","ibu jgn terlalu cepat terang"
"Lebih baik ibu tdk terlalu memberi tugas.","0","lebih baik ibu tdk terlalu beri tugas"
"Semoga kedepan lebih baik.","0","moga depan lebih baik"
"Jgn terlalu cepat menyampaikan materi.","0","jgn terlalu cepat sampai materi"
"Tolon contoh soal yg dijelaskan lebih detail agar tdk bingung.","0","tolon contoh soal yg jelas lebih detail agar tdk bingung"
"Ibu yg Baik jelasin materi pelan pelan Yah","0","ibu yg baik jelasin materi pelan pelan yah"
"Teruskan","0","terus"
"Saya suka dgn cara beliu Mengajar","0","saya suka dgn cara beliu ajar"
"kalau jelasi jgn terlalu cepat yg penting semua bisa paham","0","kalau jelas jgn terlalu cepat yg penting semua bisa paham"
"jgn telat masuk dan telat waktunya","0","jgn telat masuk dan telat waktu"
"jgn terlalu cepat mengajar materi Mending lebih pelan santai dan paham","0","jgn terlalu cepat ajar materi mending lebih pelan santai dan paham"
"buk menjelaskanya pelan pelan ya","0","buk menjelaskanya pelan pelan ya"
"pelan pelan mengajarkanya kepala saya pusing","0","pelan pelan mengajarkanya kepala saya pusing"
"Pelan2 saja menerngkanya","0","pelan2 saja menerngkanya"
"bagus sekali menerangkanya","0","bagus sekali angka"
"tetap kalem bu","0","tetap kalem bu"
"ngajarnya lebih diperbaiki bu soalnya banyak yg tdk mengerti","0","ngajarnya lebih baik bu soal banyak yg tdk erti"
"jgn dikit2 nilainya ya bu lain kali klau ngasih soal jgn susah2","0","jgn dikit2 nilai ya bu lain kali klau ngasih soal jgn susah2"
"saya harap dlm perkuliahan pilihanpenyampaian materi harus lebih mendalamagar mhsw paham","0","saya harap dlm kuliah pilihanpenyampaian materi harus lebih mendalamagar mhsw paham"
"Sebaiknya mhsw diperhatikan contoh dari hasil pengukuran kinerja atau lembar pengukuran kerjanya","0","baik mhsw perhati contoh dari hasil ukur kerja atau lembar ukur kerja"
"bu lamjutkan dan semoga tetap sabar ingatkan kami jika kami salah baik ucapan maupon tindakan","0","bu lamjutkan dan moga tetap sabar ingat kami jika kami salah baik ucap maupon tindak"
"siraman rohani pagi paginya di tingkatkan bu membuat saya semangat","0","siram rohani pagi pagi di tingkat bu buat saya semangat"
"tugasnya jgn terlalu banyak nilai oky","0","tugas jgn terlalu banyak nilai oky"
"mantap","2","mantap"
"semangat ya pak","0","semangat ya pak"
"no comen","1","no comen"
"saran say adalah tolong gunakanreferensi buku yg jelas tidak hanya mengandalkan slide saja","0","saran say adalah tolong gunakanreferensi buku yg jelas tidak hanya andal slide saja"
"lebih ditingkatkan lagi pak","0","lebih tingkat lagi pak"
"ok","2","ok"
"jgn pelit nilai ya pak","0","jgn pelit nilai ya pak"
"ok","2","ok"
"nilai maksimal A pak","0","nilai maksimal a pak"
"terlalu sering menganmcam unt mendapatkan perkuliahan yg diinginkan","0","terlalu sering menganmcam unt dapat kuliah yg ingin"
"kata2nya sering membingungkan","0","kata2nya sering bingung"
"jadilah triggar pak semoga yg anda sampaikan menjadikan kami berkarakater","0","jadi triggar pak moga yg anda sampai jadi kami berkarakater"
"lebih baik dari semester lalu dalam hal penguasaan kelas namun cara menyampaikan masih susah dipahami","0","lebih baik dari semester lalu dalam hal kuasa kelas namun cara sampai masih susah paham"
"membrikan tugas jgn terlalu mendadak pak","0","membrikan tugas jgn terlalu dadak pak"
"good","2","good"
"cara mengajarnya tdk jelas makin membuat mhsw bingung","0","cara ajar tdk jelas makin buat mhsw bingung"
"semoga sifat dosenya untuk kedepan lebih baik ramah terhadap mhsw","0","moga sifat dosenya untuk depan lebih baik ramah hadap mhsw"
"pelajaranya diharap sesuai sapdan juga diberi peljcodingya","0","pelajaranya harap sesuai sapdan juga beri peljcodingya"
"terlalu diktator menekan mhsw","0","terlalu diktator tekan mhsw"
"cara mengajar menyerang psikis mhsw","0","cara ajar serang psikis mhsw"
"sulit dipahami","0","sulit paham"
"Sebaiknya dosen memberikan contoh tugas yg jelas..","0","baik dosen beri contoh tugas yg jelas"
"sebaiknya dosen lebih sering membuat forum diskusi..","0","baik dosen lebih sering buat forum diskusi"
"untuk masukan agar lebih memberikan ide penelitian apa yg cocok, untuk pengolahannya bingung.","0","untuk masuk agar lebih beri ide teliti apa yg cocok untuk olah bingung"
"Lebih baik jika ada modul utk kuliah pengantar penelitian..","0","lebih baik jika ada modul utk kuliah antar teliti"
"Bpk jgn suka marah2 dan kalau memberi tugas tolong jgn sampai menumpuk..","0","bpk jgn suka marah2 dan kalau beri tugas tolong jgn sampai tumpuk"
"Materinya diperjelas jgn banyak memberi tugas.","0","materi jelas jgn banyak beri tugas"
"Tolong jangan PHP in mhsnya.","0","tolong jangan php in mhsnya"
"Tugasnya terlalu banyak..","0","tugas terlalu banyak"
"Contoh berikan contoh soal yg lebih banyak dan bervariasi","0","contoh ikan contoh soal yg lebih banyak dan variasi"
"suaranya kurang jejas","0","suara kurang jejas"
"Jangan sering meninggalkan kelas","0","jangan sering tinggal kelas"
"semangat lagi bu","0","semangat lagi bu"
"Perbanyak penjelasan.","0","banyak jelas"
"Terima kasih bpk telah mangajukan kami tentang arti kehidupan..","0","terima kasih bpk telah mangajukan kami tentang arti hidup"
"semangat bu","0","semangat bu"
"very good","2","very good"
"tetap semangat mengajar bu","0","tetap semangat ajar bu"
"profesional","2","profesional"
"pertahankan bu trus menjadi lebih baik lagi","0","tahan bu trus jadi lebih baik lagi"
"UAS open book, soalnya jgn susah2","0","uas open book soal jgn susah2"
"Hrs lebih memperhatikan mhs yg kurang mengerti .","0","hrs lebih perhati mhs yg kurang erti"
"Pertahankan cara mengajarnya agar anak2 senang dalam kuliah.","0","tahan cara ajar agar anak2 senang dalam kuliah"
"rs lebih tegas dg mhs yg ribut.","0","rs lebih tegas dg mhs yg ribut"
"Suaranya tolong diperjelas ya pak...","0","suara tolong jelas ya pak"
"Yg belakang kurang jelas jadi ribut sendiri.","0","yg belakang kurang jelas jadi ribut sendiri"
"Mhsnya aja bodoh kalau  gak ngerti saat dosen jelasin.","0","mhsnya aja bodoh kalau gak ngerti saat dosen jelasin"
"Tingkatkan kualitas dosen.","0","tingkat kualitas dosen"
"Teruskan perjuangan.....","0","terus juang"
"Semangat terus buuuu.....","0","semangat terus buuuu"
"lebih memberikan pelajaran yg menyenangakn agar tida k bosan didlm ruangan","0","lebih beri ajar yg menyenangakn agar tida k bosan didlm ruang"
"Sangat baik.....","0","sangat baik"
"Lebih memberikan semangat kpd mahasiswanya.","0","lebih beri semangat kpd mahasiswa"
"Tidak membosankan..","0","tidak bosan"
"Sebaiknya saat mengajar ditampilkan slide agar lebih mudah memahami.","0","baik saat ajar tampil slide agar lebih mudah paham"
"Tetap semangat pak !!!","0","tetap semangat pak"
"Mengajar lebih santai dan penjelasannya lebih rinci !!!","0","ajar lebih santai dan jelas lebih rinci"
"Sungguh mengesankan","0","sungguh kesan"
"Tugasnya kurang !!","0","tugas kurang"
"Penyampaiannya sulit dicerna, membuat suasana menjadi membosankan.","0","sampai sulit cerna buat suasana jadi bosan"
"Kedepannya lebih baik lagi !!","0","depan lebih baik lagi"
"agar menguasai kelas lebih baik","0","agar kuasa kelas lebih baik"
"Jangan memberikan tugas yang melebihi batas","0","jangan beri tugas yang lebih batas"
"semoga lebih baik","0","moga lebih baik"
"cukup bagus","2","cukup bagus"
"lebih baik cara pembelajarannya dikelas dosen jgn presentasi krnlogika ituperlu penjelasan dosen","0","lebih baik cara ajar kelas dosen jgn presentasi krnlogika ituperlu jelas dosen"
"tugas kalau bisa secepatnya langsung dibagi biar bisa buat belajar","0","tugas kalau bisa cepat langsung bagi biar bisa buat ajar"
"tugasnya di kurangi !!","0","tugas di kurang"
"tetap semangat buk","0","tetap semangat buk"
"tugasnya dikurangi !!","0","tugas rang"
"tugasnya dikurangi","0","tugas rang"
"tugasnya dikurangi","0","tugas rang"
"jangan sering kosong","0","jangan sering kosong"
"tugas jangan terlalu sulit","0","tugas jangan terlalu sulit"
"semoga lebih baik","0","moga lebih baik"
"diperbanyak contohnya","0","banyak contoh"
"tolong tegas kepada mahasiswa","0","tolong tegas kepada mahasiswa"
"tolong tegas kepada mahasiswa","0","tolong tegas kepada mahasiswa"
"jangan pelit nilai","0","jangan pelit nilai"
"lebih menguasai kelas, ","0","lebih kuasa kelas"
"Harap dalam mengajar memperhatikan etiika dan sopan santun dalam berbicara. jangan terlalu banyak menggunakan kalimat tidak pantas","0","harap dalam ajar perhati etiika dan sopan santun dalam bicara jangan terlalu banyak guna kalimat tidak pantas"
"terlalu banyak slide dengan pembahasan yang sangat padat, tidak menggunakan mic sehingga suara tidak terdengar","0","terlalu banyak slide dengan bahas yang sangat padat tidak guna mic sehingga suara tidak dengar"
"Berikan contoh lain sekaub yang ada du skude","0","ikan contoh lain sekaub yang ada du skude"
"good job","2","good job"
"Good job pak","2","good job pak"
"Bapak Keren","0","bapak keren"
"Jadi dosen pembimbing yang baik Pak","0","jadi dosen bimbing yang baik pak"
"Cukup baik tau apa maunya mahazsiswa","0","cukup baik tau apa mau mahazsiswa"
"saya harap bapak Dosen merubah cara mengajarnya. Pelajaran Kimia bukan hanya materi baca, kalau bisa ajarkan cara kalkulasi Rumus-rumus yang ada jangan hanya baca yang ada dislide","0","saya harap bapak dosen rubah cara ajar ajar kimia bukan hanya materi baca kalau bisa ajar cara kalkulasi rumus yang ada jangan hanya baca yang ada dislide"
"Pak besok kalaugak ada kuliah  pemberian infonya lebih cepat ya Pak, sama kalau ngasihin soal tolong jelaskan yang lebih detail karena banyak yang kurang mengerti","0","pak besok kalaugak ada kuliah beri info lebih cepat ya pak sama kalau ngasihin soal tolong jelas yang lebih detail karena banyak yang kurang erti"
"Bagus","0","bagus"
"Saat pelajaran on time tepat waktu","0","saat ajar on time tepat waktu"
"Sebaiknya dosen menjelaskan materi kuliah harus melibatkan mhs. secara langsung (mahasiswa aktif) dosen jangan menjelaskan materi kuliah hanya terpaku dalam PPT","0","baik dosen jelas materi kuliah harus libat mhs cara langsung mahasiswa aktif dosen jangan jelas materi kuliah hanya terpa dalam ppt"
"Perfect","2","perfect"
"Saya berharap ibu mempertahan cara mengajar seperti ini","0","saya harap ibu tahan cara ajar seperti ini"
"Terimakasih Pak","0","terimakasih pak"
"Dalam memberikan soal atau penjelasana mahasiswanya jangan disamaratakan","0","dalam beri soal atau penjelasana mahasiswa jangan disamaratakan"
"Jangan terlalu serius kalau sedang menuampaikan materi","0","jangan terlalu serius kalau sedang menuampaikan materi"
"Pada saat menerangkan pelajaran lebih pelan","0","pada saat terang ajar lebih pelan"
"Pertahankan dan tingkatkan agar menjadi lebih baik","0","tahan dan tingkat agar jadi lebih baik"
"semoga lebih baik ke depannya","0","moga lebih baik ke depan"
"Pemberian materi terlalu cepat","0","beri materi terlalu cepat"
"semoga kedepannya semakin baik","0","moga depan makin baik"
"ditingkatkan dan dipertahankan sistem mengajarnya","0","tingkat dan tahan sistem ajar"
"Ibu dosen sangat baik dalam menyampaikan materi kuliah","0","ibu dosen sangat baik dalam sampai materi kuliah"
"Ibu dosen sangat baik dalam menyampaikan mata Kuliah","0","ibu dosen sangat baik dalam sampai mata kuliah"
"Tetap bikin kita semangat belajar","0","tetap bikin kita semangat ajar"
"Bu jika mhs. ada yang bertanya tolong di jelaskan secara rinci sampai mhs.nya mengerti ya bu. Terima Kasih","0","bu jika mhs ada yang tanya tolong di jelas cara rinci sampai mhs nya erti ya bu terima kasih"
"jangan sering terlambat","0","jangan sering lambat"
"jangan sering terlambat","0","jangan sering lambat"
"Pertahankan cara mengajarnya Bu","0","tahan cara ajar bu"
"jangan pelit nilai","0","jangan pelit nilai"
"Tingkatkan lagi bu mantap","0","tingkat lagi bu mantap"
"Asik belajar sama Dosennya sistem pengajarnannya mudah dipahami","0","asik ajar sama dosen sistem pengajarnannya mudah paham"
"Tetap seperti ini bu","0","tetap seperti ini bu"
"Tingkatkan Kinerjanya Pak","0","tingkat kerja pak"
"Tolong tepat waktu Pak dan jika ada kesibukan segera konfirmasi","0","tolong tepat waktu pak dan jika ada sibuk segera konfirmasi"
"Tolong Tepat Waktu","0","tolong tepat waktu"
"Tolong Masuk tepat waktu kalau tidak masuk harap dikonfirmasikan","0","tolong masuk tepat waktu kalau tidak masuk harap konfirmasi"
"Sangat menyenangkan cuma kurang lama telatnya","0","sangat senang cuma kurang lama telat"
"Mohon masuk tepat waktu Pak","0","mohon masuk tepat waktu pak"
"Kalau menjelaskan lebih jelas. Mohon masuk tepat waktu","0","kalau jelas lebih jelas mohon masuk tepat waktu"
" Disiplin waktu masuk kuliah","0","disiplin waktu masuk kuliah"
"Tingkatkan dan lanjutkan","0","tingkat dan lanjut"
"Sukses terus pak","0","sukses terus pak"
"Materinya disesuakan dengan yang sering bi bubuhkan dalam bidanf Teknik Kimia","0","materi sua dengan yang sering bi bubuh dalam bidanf teknik kimia"
"good job","2","good job"
"Jangan menyerah bapak","0","jangan serah bapak"
"Tugas yng diberikan berupa file lalu dikirin via E-mail jadi tidak dikembalikan","0","tugas yng beri upa file lalu dikirin via e-mail jadi tidak kembali"
"Tugas On-line, jadi jarang dikembalikan. Cara mengajarnya sangat bagus dan kalau bisa mengampu satu semester jangan hanya separuh saja","0","tugas on-line jadi jarang kembali cara ajar sangat bagus dan kalau bisa ampu satu semester jangan hanya paruh saja"
"Lebih memberikan latihan soal sampai paham. Soal ujian sesuai ddengan yang pernah diajarkan","0","lebih beri latih soal sampai paham soal uji sesuai ddengan yang pernah ajar"
"Jadilah kaprodi supaya merubah pemikiran/pandangan Teknik Kimia","0","jadi kaprodi supaya rubah pikir pandang teknik kimia"
"usahakan tepat waktu ketika masuk maupun keluar jam kuliah","0","usaha tepat waktu ketika masuk maupun keluar jam kuliah"
"Tingkatkan..","0","tingkat"
"tolong berikan materi dan contoh yang jelas","0","tolong ikan materi dan contoh yang jelas"
"lebih tepat waktu","0","lebih tepat waktu"
"cara mengajar sulit dipahami","0","cara ajar sulit paham"
"lebih mengerti mahasiswa","0","lebih erti mahasiswa"
"cara mengajar kurang menarik","0","cara ajar kurang tarik"
"Penjelasan terlalu cepat.","0","jelas terlalu cepat"
"perbanyak pembahasan soal","0","banyak bahas soal"
"penjelasannya terlalu cepat","0","jelas terlalu cepat"
"Kelas panas susah konsentrasi.","0","kelas panas susah konsentrasi"
"lebih tepat waktu","0","lebih tepat waktu"
"lebih tepat waktu","0","lebih tepat waktu"
"lebih diperbanyak tugasnya","0","lebih banyak tugas"
"jangan terlalu cepat","0","jangan terlalu cepat"
"jangan terlalu cepat","0","jangan terlalu cepat"
"jangan terlalu cepat","0","jangan terlalu cepat"
"jangan terlalu cepat, suara dikeraskan lagi","0","jangan terlalu cepat suara keras lagi"
"terlalu cepat dalam menjelaskan materi","0","terlalu cepat dalam jelas materi"
"dalam penyampaian materi tolong lebih diperjelas lagi","0","dalam sampai materi tolong lebih jelas lagi"
"tolong lebih tegas","0","tolong lebih tegas"
"kurang jelas","0","kurang jelas"
"jangan pelit nilai ya pak","0","jangan pelit nilai ya pak"
"perbanyak latihan dikelas","0","banyak latih kelas"
"pak kami butuh pemgertian","0","pak kami butuh pemgertian"
"bpk sangat penter pak god job tetap mengampu mata kuliah ya pak","0","bpk sangat penter pak god job tetap ampu mata kuliah ya pak"
"lanjutkan","2","lanjut"
"mantab","2","mantab"
"sangat baik","0","sangat baik"
"tolong lebih tepat waktu pak","0","tolong lebih tepat waktu pak"
"jangan sering terlambat","0","jangan sering lambat"
"bapak datang dong sebelum kita pulang","0","bapak datang dong belum kita pulang"
"tolong pak tolong","0","tolong pak tolong"
"jangan telat lagi ya ingat kontrak kuliah kita","0","jangan telat lagi ya ingat kontrak kuliah kita"
"mohon tepT WAKTU","0","mohon tept waktu"
"AGAR RAJIN DATANG TEPAT WAKTU","0","agar rajin datang tepat waktu"
"TEPAT WAKTU YA PAK","0","tepat waktu ya pak"
"TEPAT WAKTU YA PAK","0","tepat waktu ya pak"
"DOSEN STUDI ISLAM INI TIDAK BERNIAT MENJADI DOSEN","0","dosen studi islam ini tidak niat jadi dosen"
"CUKUP HADIR SETIAP HARI SUDAH CUKUP BUAT KAMI","0","cukup hadir tiap hari sudah cukup buat kami"
"Sampaikan materi secara jelas dan mudah dipahami..","0","sampai materi cara jelas dan mudah paham"
"Ruang kelas perlu AC.","0","ruang kelas perlu ac"
"Rasulullah mendidik dg kasih sayang bukan dg nafsu.","0","rasulullah didik dg kasih sayang bukan dg nafsu"
"Merasa tertekan.","0","rasa tekan"
"Harap menguasai materi.","0","harap kuasa materi"
"Sebaiknya ketika menjelaskan materi dosen menyuruh mhs utk diam agar materi mudah dipahami.","0","baik ketika jelas materi dosen suruh mhs utk diam agar materi mudah paham"
"Bu jangan cepet ngomel.","0","bu jangan cepet ngomel"
"Mengajar dengan senyum,...","0","ajar dengan senyum"
"Pakai mikrophone pak! Agar semua dengar penjelasn bapak","0","pakai mikrophone pak agar semua dengar penjelasn bapak"
"bagus","0","bagus"
"Pertahankan cara mengajarnya.","0","tahan cara ajar"
"Penjelasan materi kurang dimengerti","0","jelas materi kurang erti"
"Kalau menerangkan harus pakai Mix Pak , biar jelas","0","kalau terang harus pakai mix pak biar jelas"
"Kalau mengajar harus lebih semangat","0","kalau ajar harus lebih semangat"
"mengajar sesuai prosedur","0","ajar sesuai prosedur"
"Mengajar gunakan sound system","0","ajar guna sound system"
"Cara mengajar lumayan meningkatkan minat belajar mhs, hanya terlalu cepat dlm menjelaskan.","0","cara ajar lumayan tingkat minat ajar mhs hanya terlalu cepat dlm jelas"
"Oke pak lanjutkan.","2","oke pak lanjut"
"Kalau menjelaskan tolong menggunakan pengeras suara/mix","0","kalau jelas tolong guna keras suara mix"
"Josss..","0","josss"
"Lebih seru lagi dalam mengajar dan jangan terlalu cepat","0","lebih seru lagi dalam ajar dan jangan terlalu cepat"
"Apabila mengajar jangan terlalu serius dan terlalu cepat","0","apabila ajar jangan terlalu serius dan terlalu cepat"
"Jangan terlalu kaku dalam mengajar","0","jangan terlalu kaku dalam ajar"
"Semoga bapak dapat lebih jelas lagi menerangkan/menjelaskannya majteri","0","moga bapak dapat lebih jelas lagi terang jelas majteri"
"Gunakan power point ya pak untuk mempermudah belajar.","0","guna power point ya pak untuk mudah ajar"
"Terimakasih Kepada Pak Imam telah mengerti kami","0","terimakasih kepada pak imam telah erti kami"
"Bapaknya jangan sering terlambat dan bapaknya jangan memberi harapan palsu","0","bapak jangan sering lambat dan bapak jangan beri harap palsu"
"Bapak kurang jelas menyampaikan materi","0","bapak kurang jelas sampai materi"
